Predominant Color,Secondary Color,Major Diameter (cm),Minor Diameter (cm),Aspect Ratio,Roundness,Elongation,Shape Type,Contrast,Correlation,Energy,Entropy,Edge Density,Hu Moment 1,Hu Moment 2,Hu Moment 3,Variety
Marron,Anaranjado,5.449301045025022,3.2710893649124615,0.6002768681496915,0.6319966152563654,0.3680033847436346,Oblongo,4.159773106063277,0.999620277707987,0.8143032186588345,2.7465453045178148,0.047993909903361595,0.7372749306510019,2.104580357410347,4.64371760399497,V61
Marron,Rosado,5.278356420113158,3.9882732563862886,1.3234691007345354,0.6851079417791208,0.3148920582208792,Comprimido,6.7928884126997415,0.9994528612404272,0.7806396362742246,3.2258637387938496,0.08337346121380701,0.7696235349720093,2.5508448811430586,4.073558975996151,V61
Marron,Anaranjado,5.110987924949032,3.8618292915398302,1.323462934041583,0.6617471471402943,0.33825285285970574,Comprimido,3.0254698834605542,0.9997325777583127,0.8108667152293907,2.694982304558826,0.019645829427484943,0.7697246329280893,2.5535902399342336,4.072720587176337,V61
Marron,Anaranjado,5.045619710299833,3.8233970832941644,0.757765607164033,0.7618679638814377,0.23813203611856226,Eliptico,6.32669542382606,0.9994213329233219,0.8018630022597646,2.937307193561529,0.07966866377298418,0.7731194564978374,2.599178375729647,4.320733813643737,V61
Marron,Anaranjado,5.238146244580665,3.9631809505813007,0.7565999049151346,0.7626480948748817,0.23735190512511828,Eliptico,6.951190494784403,0.9993432227788203,0.8149146069765117,2.785578786897308,0.09482304719059918,0.7731184739399896,2.6001648792950345,4.302645912511607,V61
Marron,Anaranjado,3.4955375397003468,3.4921942484302613,1.0009573611982174,0.832242909843775,0.16775709015622497,Comprimido,4.4673146971233235,0.9995030705696502,0.8652834631765696,2.0965619905021935,0.07449314749720061,0.7966306559856899,5.64291437587267,4.7585710294553305,V61
Marron,Anaranjado,3.4783961927265854,3.4661638569899735,1.003529070246331,0.8341934842433056,0.16580651575669436,Comprimido,2.497459767318723,0.9997498561146451,0.8504510054951806,2.229869304510144,0.02668229832839636,0.79659041990866,5.932672936938985,4.761572016764069,V61
Marron,Anaranjado,4.533400006446617,3.8465922306868605,0.8485005129079505,0.7608605926088032,0.23913940739119677,Eliptico,1.4592780835472972,0.9998620140524287,0.8356813921528099,2.340820911393312,0.007655331740456253,0.7909963794225747,3.4332242270055713,4.259288240857607,V61
Marron,Anaranjado,3.686281750872491,3.514323011434666,1.048930829317145,0.8194345513442091,0.18056544865579094,Comprimido,1.6920227576103888,0.9998140116063411,0.8531767632544958,2.1008895634018696,0.017826628258959087,0.7949824025880035,4.5873472611704535,4.3277359120026935,V61
Marron,Anaranjado,3.7611618925143144,3.569485139480148,1.0536987115912413,0.8219756273190065,0.17802437268099347,Comprimido,2.7729542587126272,0.9997363786981889,0.8394192321145826,2.3264692082919307,0.02867969563523337,0.7950097889503361,4.523758137869293,4.3417571325163875,V61
Marron,Anaranjado,3.6168111439980066,3.4264763800807794,1.0555482492229349,0.8346882931951816,0.16531170680481844,Comprimido,1.6655181497219393,0.9998358239036779,0.8398581869959141,2.244312118845291,0.008627894607987978,0.7951375757262696,4.4782468231894965,4.341294383727291,V61
Marron,Anaranjado,4.521062339017734,3.4992827545330445,0.773995687768666,0.8183477283034203,0.18165227169657971,Eliptico,4.435730680099358,0.9996124518541128,0.8242549747959039,2.585862164098261,0.04446091733182682,0.7825604437325034,2.7394229396293146,6.241361173923945,V61
Marron,Anaranjado,3.865605789093165,3.7814283436813145,0.9782239964433627,0.7546375244347422,0.2453624755652578,Esferico,2.7317387673124816,0.9997059753475067,0.8536106109065928,2.1887860095163436,0.030550635236435985,0.7908824452811827,3.754051041098771,4.368577954363843,V61
Marron,Anaranjado,3.860612829289243,3.781586737203526,0.979530169022345,0.7632828725518682,0.23671712744813178,Esferico,1.8952010226437757,0.9998091579507963,0.8436659673728263,2.2526100710569654,0.009738645984105744,0.7911872389800478,3.7924186869284555,4.38266333621794,V61
Marron,Anaranjado,6.1181838218598745,3.763778157517448,0.6151789921822408,0.5944164756587119,0.4055835243412881,Oblongo,5.174375127227953,0.999540368226415,0.8148814347024711,2.759656351953918,0.05713301202163502,0.7280862991627152,2.0613987328638106,4.101820931537841,V61
Marron,Anaranjado,6.0380699622603675,3.7377034158909415,1.6154491917655531,0.5947804185988567,0.40521958140114334,Comprimido,9.134412247549804,0.9991707648059951,0.8028027002410688,3.014342181165929,0.09315717695855942,0.7284644262853066,2.0672573288395957,3.9441684611382057,V61
Marron,Anaranjado,5.447692954790767,3.3946832363186212,1.6047721025949215,0.5911474755444275,0.4088525244555725,Comprimido,2.4179974042261696,0.9997989543213017,0.8030238544054331,2.7197682921248028,0.008022082835901032,0.7297087758060248,2.078611128949371,3.9344392304348865,V61
Marron,Anaranjado,5.8596341157154965,3.4456637753777115,0.5880339467163087,0.7735107957290575,0.22648920427094255,Oblongo,6.017223842650186,0.9994455705560067,0.8050237819488867,2.9098358886975753,0.06508732630798704,0.7314347323845067,2.0573700384141556,4.260361546087596,V61
Marron,Anaranjado,5.890104277583381,3.4036261345826992,0.5778549876504316,0.6919985479964754,0.3080014520035246,Oblongo,4.509536231719503,0.999611140473202,0.8235702324607008,2.593792505514407,0.038363087494698425,0.7220134354317591,2.002325846081316,3.7725370429747906,V61
Marron,Anaranjado,4.08188937178674,3.3083346117010524,0.8104910031535019,0.7884896354552858,0.21151036454471417,Eliptico,3.0792713337376316,0.999628134284572,0.8492949603613936,2.3140271627336686,0.033732710531091455,0.7777960306166983,2.7147639400457537,3.9773660192273037,V61
Marron,Anaranjado,3.98358916395068,3.2252281044912565,0.8096286970749444,0.7887137435014607,0.21128625649853927,Eliptico,2.5455666290857373,0.9997166304879184,0.8478979846085061,2.2893575042740495,0.020102120803256435,0.7777378171070036,2.7123773708701497,3.9791319767909052,V61
Marron,Anaranjado,3.926931801055519,3.1675546471511065,0.8066232895360446,0.786547492391356,0.21345250760864398,Eliptico,4.478175569246488,0.9994887189157763,0.8411607889676156,2.4684185333042796,0.059391103109137734,0.77763898620854,2.710367989016343,3.976947620180493,V61
Marron,Anaranjado,5.664871856868644,3.3360907005658373,1.6980569071182088,0.6267800405315381,0.37321995946846187,Comprimido,5.352796785790889,0.9995686301539476,0.7710153319546976,3.2060390799956062,0.03266602409994498,0.7310735066708289,2.0485234040875566,5.141391675564838,V61
Marron,Anaranjado,4.827733581145279,3.035459201432131,1.5904458801052415,0.7730195656026408,0.22698043439735915,Comprimido,5.492835485682199,0.9994429850479084,0.8624859484239604,2.111837464277707,0.07938965099840481,0.746365478670255,2.1817359883533314,4.683861113613328,V61
