Predominant Color,Secondary Color,Major Diameter (cm),Minor Diameter (cm),Aspect Ratio,Roundness,Elongation,Shape Type,Contrast,Correlation,Energy,Entropy,Edge Density,Hu Moment 1,Hu Moment 2,Hu Moment 3,Variety
Marron,Anaranjado,4.0827093828779795,2.1317835988144154,1.915161269252923,0.620178144694728,0.379821855305272,Comprimido,8.21374690994192,0.9993925504701989,0.7134358543294694,4.044657620952783,0.039095435362289696,0.7050952767593475,1.930135405565933,3.1985621766811145,V1
Marron,Ausente,3.8548369130393856,2.145501961565692,1.7967063102689018,0.7740640207574465,0.2259359792425535,Comprimido,5.853656155996379,0.9996230633708052,0.6216969452899116,4.753618411072065,0.004716713536643677,0.7191975204236867,1.9698106718362198,4.596639557490346,V1
Marron,Anaranjado,3.1718404059512504,1.9801270618308833,1.6018368048656808,0.7945103493693916,0.20548965063060842,Comprimido,7.626887392204924,0.9995164961704066,0.6128971821918767,5.131390059563723,0.02500357291120805,0.7440028428351573,2.1679822501367707,4.376876486099747,V1
Marron,Ausente,3.637328909728588,2.3450546304613833,0.6447188826364256,0.8198378246563018,0.18016217534369816,Oblongo,3.219453471255065,0.9997842278389798,0.6109367977641632,4.83494261386127,0.003062730314351261,0.7556329104020929,2.2837841600691173,4.343880308726472,V1
Marron,Anaranjado,4.435819982545672,2.2648463141799535,0.5105812055249774,0.5962046630780804,0.4037953369219196,Oblongo,10.498658642849913,0.9993215286197882,0.6408582366630814,4.72582007426893,0.03218493497088498,0.6887129705882928,1.8439491589921346,3.0626973952390335,V1
Marron,Anaranjado,4.2325777080809655,2.1801107175816035,1.941450805203216,0.6043287644526185,0.3956712355473815,Comprimido,6.1335744885673495,0.9995805121971173,0.674578820705283,4.270020612695596,0.007162720692651133,0.6994859185395919,1.9009241641043768,3.139480184882253,V1
Marron,Anaranjado,4.1162787188154795,2.3438727737035094,0.5694154681483751,0.6293477032461293,0.3706522967538707,Oblongo,4.6903816505052545,0.9996730089627972,0.658193407820274,4.636806956490494,0.024316850179161763,0.7139841623350223,1.9721127760490327,3.3327365494740024,V1
Marron,Anaranjado,4.281257161799371,2.2845179226587056,1.8740308926168876,0.6245527141152354,0.3754472858847646,Comprimido,7.330117616675095,0.9995224387203662,0.6442194093779393,4.9481273933608,0.055207824977405486,0.692681728735713,1.8573367535592027,3.140444836397807,V1
Marron,Rosado,3.576124939636262,2.545739439159491,1.4047490032275127,0.7486997604767137,0.2513002395232863,Comprimido,2.3595882628641225,0.9998683716364792,0.608828407112149,4.557357731058297,0.0022719973016479085,0.7678139811953946,2.4795215799412786,3.9925866355769304,V1
Marron,Rosado,4.601270336952429,2.479581038573451,1.855664430955491,0.5653603557668428,0.43463964423315715,Comprimido,5.230663993336627,0.9996539637216946,0.6750943683069865,4.159911614419997,0.0090527605062113,0.6847025908770847,1.7756765319231473,4.035713756275343,V1
Marron,Rosado,3.8056574122577262,2.5222629649030908,1.5088265835929386,0.7722102018496815,0.22778979815031852,Comprimido,6.165488983733953,0.9996462052863209,0.6341454272032502,4.653572832837304,0.00938826494619361,0.7566243842494109,2.3190579127135003,3.792130939904756,V1
Marron,Anaranjado,4.207253713392974,2.202701558612166,1.9100425552174194,0.6123947824836916,0.3876052175163084,Comprimido,5.179631252407707,0.9996324621925592,0.7031334611312353,3.925961990240662,0.008315510290457412,0.7058058528998868,1.9353718597804326,3.196634818559491,V1
